Code région;Nom de la région;Code département;Code arrondissement;Code canton;Code commune;Nom de la commune;Population municipale;Population comptée à part;Population totale
52;Pays de la Loire;44;5;08;208;Treffieux;930;11;941
52;Pays de la Loire;44;5;05;209;Treillières;9 617;246;9863
52;Pays de la Loire;44;3;27;210;Trignac;7 983;81;8064
52;Pays de la Loire;44;3;09;211;La Turballe;4 734;95;4829
52;Pays de la Loire;44;5;01;163;Vair-sur-Loire;4 764;106;4870
52;Pays de la Loire;44;2;30;212;Vallet;9 460;179;9639
52;Pays de la Loire;44;5;01;180;Vallons-de-l'Erdre;6 480;125;6605
52;Pays de la Loire;44;5;08;214;Vay;2 051;29;2080
52;Pays de la Loire;44;2;31;215;Vertou;25 541;599;26140
52;Pays de la Loire;44;2;07;216;Vieillevigne;4 010;75;4085
52;Pays de la Loire;44;5;05;217;Vigneux-de-Bretagne;6 175;130;6305
52;Pays de la Loire;44;3;10;021;Villeneuve-en-Retz;4 962;88;5050
52;Pays de la Loire;44;5;06;218;Villepot;682;14;696
52;Pays de la Loire;44;2;10;220;Vue;1 615;25;1640
